Category,Neutral,Oppose,Support,,,,,,,
Dail Eireann 001,4,19,36,,,,,,,
"Department of Agriculture, Food and the Marine 004",58,7,99,,,,,,,
Inputs 009,0,0,1,,,,,,,
Inputs 015,4,0,5,,,,,,,
Political Party 002,22,35,48,,,,,,,
Political Party 003,32,26,78,,,,,,,
Processors 004,22,4,25,,,,,,,
Processors 006,3,0,5,,,,,,,
Research and Regulatory 092,22,0,13,,,,,,,
Seanad Eireann 001,18,21,29,,,,,,,
Semi-state agency  011,51,34,78,,,,,,,
Semi-state agency 012,26,5,27,,,,,,,
State Agencies  001,13,4,22,,,,,,,
Trade Association 011,14,17,22,,,,,,,
Trade Association 013,6,8,14,,,,,,,
